timeStamp= 1305031229.528748; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031229.564424992; T[0]= -0.002345446; T[1]= -0.008347171; T[2]= 0.006421376; x= -0.005635437; y=  -0.034588199; z=  0.000690748; w= 0.999385536
timeStamp= 1305031229.596600056; T[0]= 0.003261236; T[1]= -0.011758932; T[2]= -0.002601451; x= -0.008110916; y=  -0.062040634; z=  0.007595708; w= 0.998011768
timeStamp= 1305031229.628752947; T[0]= -0.005434710; T[1]= -0.000683524; T[2]= 0.012734916; x= -0.007867663; y=  -0.077513061; z=  0.011835602; w= 0.996890008
timeStamp= 1305031229.664657116; T[0]= 0.010002541; T[1]= -0.013267289; T[2]= 0.010713497; x= -0.012608639; y=  -0.104797989; z=  0.012157180; w= 0.994339287
timeStamp= 1305031229.696826935; T[0]= 0.001924672; T[1]= -0.013791059; T[2]= 0.013864269; x= -0.013347784; y=  -0.112998366; z=  0.013907933; w= 0.993408144
timeStamp= 1305031229.729063988; T[0]= -0.012417357; T[1]= -0.003751382; T[2]= 0.018519029; x= -0.009031834; y=  -0.128188297; z=  0.017808089; w= 0.991548836
timeStamp= 1305031229.764847994; T[0]= -0.004020226; T[1]= -0.012571406; T[2]= 0.011931895; x= -0.012762798; y=  -0.151292950; z=  0.020147942; w= 0.988201201
timeStamp= 1305031229.796909094; T[0]= -0.013241944; T[1]= -0.010089932; T[2]= 0.014146949; x= -0.011629100; y=  -0.164183855; z=  0.024941772; w= 0.986045837
timeStamp= 1305031229.825613022; T[0]= -0.020707101; T[1]= -0.011058709; T[2]= 0.011757986; x= -0.012056435; y=  -0.183669269; z=  0.029645510; w= 0.982466996
timeStamp= 1305031229.863054991; T[0]= -0.021415848; T[1]= -0.012081500; T[2]= 0.013763078; x= -0.013111169; y=  -0.206592485; z=  0.035143018; w= 0.977707803
timeStamp= 1305031229.896929026; T[0]= -0.027216323; T[1]= -0.010671374; T[2]= 0.012781447; x= -0.011697935; y=  -0.226737201; z=  0.039544426; w= 0.973082542
timeStamp= 1305031229.926248074; T[0]= -0.024423452; T[1]= -0.013887886; T[2]= 0.013717863; x= -0.012913294; y=  -0.253642380; z=  0.043163486; w= 0.966248274
timeStamp= 1305031229.966160059; T[0]= -0.018656529; T[1]= -0.016265783; T[2]= 0.017506551; x= -0.014200913; y=  -0.279065698; z=  0.047059167; w= 0.959013045
timeStamp= 1305031229.997916937; T[0]= -0.010341277; T[1]= -0.019201847; T[2]= 0.021946909; x= -0.015646797; y=  -0.301977903; z=  0.048734244; w= 0.951939821
timeStamp= 1305031230.029990911; T[0]= -0.012020765; T[1]= -0.020060448; T[2]= 0.021723319; x= -0.016037408; y=  -0.317950934; z=  0.050231308; w= 0.946639717
timeStamp= 1305031230.065686941; T[0]= -0.013701997; T[1]= -0.022939214; T[2]= 0.023000777; x= -0.016633570; y=  -0.334149748; z=  0.052275930; w= 0.940922141
